Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 2	 64	 76.7827453613281	 103.147109985352	-1	 3669.10961914063	 1324	 0
 2	 65	 76.4319839477539	 103.759262084961	-1	 3414.2646484375	 1353	 0
 2	 66	 76.0510559082031	 104.183563232422	-1	 3346.53564453125	 1385	 0
 2	 67	 76.3910751342773	 104.01042175293	-1	 2605.4609375	 1407	 0
 2	 68	 76.0901184082031	 103.81436920166	-1	 2605.71484375	 1420	 0
 2	 69	 76.3306427001953	 103.855728149414	-1	 3469.73681640625	 1445	 0
 2	 70	 76.313591003418	 103.249542236328	-1	 2742.82177734375	 1476	 0
 2	 71	 75.9920120239258	 103.415023803711	-1	 2891.16455078125	 1496	 0
 2	 72	 76.1442489624023	 103.788917541504	-1	 1965.34057617188	 1504	 0
 2	 73	 76.2260360717773	 103.588607788086	-1	 2237.17333984375	 1528	 0
 2	 74	 76.0931777954102	 103.446105957031	-1	 2059.16528320313	 1548	 0
 2	 75	 76.155403137207	 103.491622924805	-1	 2043.44702148438	 1562	 0
 2	 76	 75.6918182373047	 103.971130371094	-1	 1456.44641113281	 1579	 0
 2	 77	 76.5508499145508	 103.679214477539	-1	 2475.36962890625	 1607	 0
 2	 78	 76.3782501220703	 103.46891784668	-1	 2652.37915039063	 1631	 0
 2	 79	 76.2978439331055	 103.326461791992	-1	 2155.17822265625	 1649	 0
 2	 80	 76.2990646362305	 103.24674987793	-1	 994.135620117188	 1670	 0
 2	 81	 76.2602386474609	 104.002593994141	-1	 485.382873535156	 1701	 0
 2	 82	 76.1064834594727	 103.717643737793	-1	 1116.03344726563	 1722	 0
 3	 5	 67.1959915161133	 100.479026794434	-1	 771.750732421875	 86	 0
 3	 6	 67.3969345092773	 101.148376464844	-1	 1085.4755859375	 111	 0
 3	 7	 67.952522277832	 100.47354888916	-1	 2392.38354492188	 122	 0
 3	 8	 68.2586059570313	 100.617225646973	-1	 1463.81298828125	 139	 0
 3	 9	 68.6557540893555	 101.147911071777	-1	 1325.45764160156	 155	 0
 3	 10	 67.3356399536133	 100.29566192627	-1	 985.632568359375	 183	 0
 3	 11	 68.2061920166016	 100.385726928711	-1	 1240.623046875	 212	 0
 3	 12	 67.6559143066406	 100.533828735352	-1	 1431.79931640625	 224	 0
 3	 13	 68.6639556884766	 100.938850402832	-1	 727.802001953125	 242	 0
 3	 14	 68.1472854614258	 100.673797607422	-1	 948.806030273438	 263	 0
 3	 15	 68.9782791137695	 100.799278259277	-1	 1633.92907714844	 284	 0
 3	 16	 68.3526916503906	 101.155029296875	-1	 593.12841796875	 309	 0
 4	 6	 80.3325119018555	 90.6939086914063	-1	 1499.01123046875	 103	 0
 4	 7	 79.0380935668945	 90.5240936279297	-1	 675.6064453125	 120	 0
 4	 8	 80.2980575561523	 91.8375091552734	-1	 846.977661132813	 138	 0
 4	 9	 80.3156051635742	 91.6026611328125	-1	 2770.02124023438	 152	 0
 4	 10	 80.0339584350586	 91.1272201538086	-1	 2032.33093261719	 188	 0
 4	 11	 80.6213226318359	 91.7822799682617	-1	 1532.12890625	 190	 0
 4	 12	 80.755126953125	 92.0574493408203	-1	 1491.13403320313	 225	 0
 4	 13	 80.7779846191406	 93.4930725097656	-1	 687.268859863281	 249	 0
 4	 14	 80.7762298583984	 93.6843872070313	-1	 1604.09338378906	 278	 0
 4	 15	 80.6460876464844	 92.0389785766602	-1	 1046.47143554688	 291	 0
 4	 16	 80.5262298583984	 91.7980041503906	-1	 1180.60412597656	 303	 0
 4	 17	 79.2828979492188	 90.7172546386719	-1	 685.026550292969	 331	 0
 4	 18	 80.9577407836914	 92.3096618652344	-1	 1447.69494628906	 342	 0
 4	 19	 78.961051940918	 90.0730438232422	-1	 1530.89013671875	 367	 0
 4	 20	 79.2057647705078	 90.8185882568359	-1	 1113.67016601563	 381	 0
 4	 21	 79.878776550293	 91.0140380859375	-1	 824.753784179688	 390	 0
 4	 22	 79.778205871582	 90.8565979003906	-1	 519.461975097656	 413	 0
 4	 23	 78.6058807373047	 90.1124267578125	-1	 1223.3408203125	 427	 0
 5	 7	 23.2800922393799	 183.553649902344	-1	 822.002014160156	 127	 0
 5	 8	 22.478385925293	 184.523941040039	-1	 1305.8134765625	 140	 0
 5	 9	 22.6198596954346	 183.76203918457	-1	 988.262451171875	 154	 0
 5	 10	 23.9242496490479	 182.843292236328	-1	 1408.68139648438	 181	 0
 5	 11	 21.4843101501465	 184.470718383789	-1	 1045.74194335938	 203	 0
 5	 12	 22.5463256835938	 183.419235229492	-1	 1135.08459472656	 216	 0
 5	 13	 22.0710639953613	 184.066040039063	-1	 1240.48754882813	 240	 0
 5	 14	 22.3484649658203	 184.453369140625	-1	 1199.3955078125	 273	 0
 5	 15	 23.0230846405029	 183.747970581055	-1	 539.556091308594	 297	 0
 5	 16	 23.1439056396484	 182.706268310547	-1	 1138.865234375	 305	 0
