<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
13	16	2080.0	2560.0	1450.6501852881115	0.0006893460671232682	-3.1615626978166778
13	107	2080.0	17120.0	2140.7675783276927	0.0004671221715629549	-3.330569518798865
13	108	2080.0	17280.0	2333.742362716213	0.00042849631389306947	-3.3680529097099434
13	145	2080.0	23200.0			
13	146	2080.0	23360.0	391.66029582495565	0.0025532330201959736	-2.592909547605787
13	147	2080.0	23520.0	894.130664071269	0.0011184047703348785	-2.9514009891970203
13	148	2080.0	23680.0	1161.90893243137	0.0008606526484889268	-3.0651720904532644
13	149	2080.0	23840.0	1006.7572443154937	0.0009932881095679742	-3.002924763340234
13	150	2080.0	24000.0	101.74493216680061	0.009828499353270985	-2.007512786577296
13	152	2080.0	24320.0			
13	154	2080.0	24640.0	650.5086718434476	0.0015372585228820156	-2.813253090457412
13	155	2080.0	24800.0	912.4771811757669	0.0010959178164997574	-2.96022201262072
13	156	2080.0	24960.0			
13	168	2080.0	26880.0	759.9293605706602	0.0013159117832334595	-2.8807732242016093
13	169	2080.0	27040.0	656.1776494390036	0.0015239775400075664	-2.817021433470601
13	181	2080.0	28960.0	1013.222332485495	0.0009869502160961456	-3.0057047535309955
13	182	2080.0	29120.0	234.3524506430977	0.004267077204679757	-2.369869499333548
13	196	2080.0	31360.0			
13	197	2080.0	31520.0	49.51971598596423	0.020193976885558833	-1.6947781451784139
13	198	2080.0	31680.0	86.0808910255774	0.011616980122834322	-1.934906753739237
13	199	2080.0	31840.0	736.2625231319815	0.0013582111931300096	-2.8670326947980262
13	200	2080.0	32000.0	184.48642070758729	0.00542045314860875	-2.2659644050273293
13	201	2080.0	32160.0			
13	204	2080.0	32640.0			
13	207	2080.0	33120.0			
13	208	2080.0	33280.0	907.1484523562481	0.0011023554054494357	-2.957678363976876
13	209	2080.0	33440.0	1852.4740293165926	0.000539818633985879	-3.267752128120431
13	210	2080.0	33600.0	2125.6397358887493	0.000470446606316329	-3.3274896600115165
13	211	2080.0	33760.0			
14	15	2240.0	2400.0	3134.654486407565	0.0003190144254609823	-3.496189678207848
14	16	2240.0	2560.0	813.6685472087836	0.0012290016658876757	-2.910447528435487
14	31	2240.0	4960.0	1367.8189934384848	0.0007310908861458015	-3.136028630021558
14	32	2240.0	5120.0	343.5249142141559	0.0029109970154205258	-2.5359582398332816
14	107	2240.0	17120.0			
14	108	2240.0	17280.0			
14	144	2240.0	23040.0	199.7413200234123	0.005006475374663524	-2.30046791565641
14	145	2240.0	23200.0	726.5267135403388	0.0013764118804758542	-2.861251587429458
14	146	2240.0	23360.0	654.7207654523171	0.0015273686932919335	-2.816056115442142
14	147	2240.0	23520.0	1368.3841430838152	0.0007307889418729904	-3.136208032912104
14	148	2240.0	23680.0	850.5807736556958	0.001175667298123984	-2.9297155617901756
14	149	2240.0	23840.0	178.88162486391337	0.005590289113042011	-2.2525657311203857
14	154	2240.0	24640.0	513.7132068626104	0.00194661142957036	-2.710720730983878
14	155	2240.0	24800.0	1245.5176330129914	0.0008028790387984571	-3.09534988029969
14	156	2240.0	24960.0	1206.2104776467067	0.0008290427073316264	-3.0814230966141123
14	166	2240.0	26560.0			
14	167	2240.0	26720.0	1078.8890188298813	0.0009268793940312405	-3.032976772774949
14	168	2240.0	26880.0	101.05336134370768	0.009895761869798183	-2.0045507640536466
14	169	2240.0	27040.0			
14	179	2240.0	28640.0			
14	180	2240.0	28800.0	489.6299339370575	0.002042358791177484	-2.6898679609068883
14	181	2240.0	28960.0	1559.449855998847	0.0006412517825778294	-3.1929714146089556
14	196	2240.0	31360.0	579.3931442279852	0.0017259437912964162	-2.7629733520317563
14	197	2240.0	31520.0	554.9783875719279	0.0018018719690600477	-2.7442760707965292
14	198	2240.0	31680.0	624.0788377467992	0.0016023616561177472	-2.7952394560857483
14	199	2240.0	31840.0	1124.0411067259467	0.0008896471792857756	-3.0507821938823376
